states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft,total_crime,tot_violent_crime,tot_prop_crim,arson
California,Yuba City,"65,653",376.2,6.1,33.5,65.5,271.1,"3,018.9",763.1,"1,975.5",280.3,,,,
Arizona,Yuma,"95,568",531.6,5.2,28.3,63.8,434.2,"3,508.5",999.3,"2,262.3",246.9,,,,
Texas,Abilene,"119,886",393.7,2.5,31.7,105.9,253.6,"3,664.3",865,"2,656.7",142.6,,,,
Ohio,Akron,"198,390",886.6,12.1,84.2,290.8,499.5,"5,057.7","1,728.4","2,965.9",363.4,,,,
Virginia,Alexandria,"145,892",166.6,-,6.2,94.6,65.8,"2,049.5",192.6,"1,633.4",223.5,,,,
Pennsylvania,Allentown,"119,334",547.2,12.6,45.3,313.4,176,"3,857.2","1,045.8","2,503.1",308.4,,,,
Texas,Amarillo,"196,576",650.1,5.1,56.0,141.4,447.7,"4,527.5","1,061.7","3,145.9",320,,,,
New York,Amherst Town,"117,591",74.8,-,6.0,23.8,45.1,"1,922.8",182,"1,709.3",31.5,,,,
Michigan,Ann Arbor,"115,008",197.4,0.9,30.4,43.5,122.6,"2,370.3",620.8,"1,650.3",99.1,,,,
California,Antioch,"105,009","1,017.1",9.5,27.6,354.3,625.7,"4,530.1","1,658","1,828.4","1,043.7",,,,
Colorado,Arvada,"109,029",144.9,-,20.2,26.6,98.1,"2,389.3",357.7,"1,847.2",184.4,,,,
Georgia,Athens-Clarke County,"117,457",387.4,4.3,40.9,134.5,207.7,"3,917.2",978.2,"2,732.9",206,,,,
Illinois,Aurora,"199,765",281.8,-,32.5,62.6,186.7,"1,784.6",472.6,"1,249",63.1,,,,
Louisiana,Baton Rouge,"231,500","1,082.9",28.5,27.6,446.2,580.6,"5,209.1","1,652.7","3,348.2",208.2,,,,
Texas,Beaumont,"120,323","1,032.2",10.8,63.2,339.1,619.2,"4,840.3","1,519.2","3,089.2",231.9,,,,
Washington,Bellevue,"126,022",127.8,1.6,20.6,53.2,52.4,"2,779.7",543.6,"2,102",134.1,,,,
California,Berkeley,"114,961",423.6,4.3,33.9,291.4,93.9,"4,954.7",844.6,"3,552.5",557.6,,,,
Montana,Billings,"106,371",347.8,2.8,35.7,63.9,245.4,"4,523.8",745.5,"3,391.9",386.4,,,,
Alabama,Birmingham,"213,266","1,517.8",31.4,71.3,460.9,954.2,"6,934.1","2,205.7","4,239.8",488.6,,,,
Idaho,Boise,"211,569",268,0.5,35.4,30.3,201.8,"2,524.9",431.5,"2,019.2",74.2,,,,
Colorado,Boulder,"100,257",248.4,-,31.9,47.9,168.6,"2,929.5",470.8,"2,331",127.7,,,,
Connecticut,Bridgeport,"146,030","1,205.2",15.1,265.7,415.0,509.5,"3,528.7",943,"1,991.4",594.4,,,,
Oklahoma,Broken Arrow,"100,688",153.9,1,32.8,38.7,81.4,"2,172.1",371.4,"1,686.4",114.2,,,,
Texas,Brownsville,"181,102",261.2,1.7,21.0,69.0,169.5,"4,603.5",632.2,"3,857.5",113.7,,,,
California,Burbank,"105,057",231.3,1.9,22.8,105.7,100.9,"2,373",364.6,"1,819",189.4,,,,
Massachusetts,Cambridge,"106,981",402.9,0.9,18.7,126.2,257.1,"2,889.3",469.2,"2,320",100,,,,
Florida,Cape Coral,"159,625",143.5,2.5,10.0,25.7,105.2,"2,205.8",538.8,"1,595.6",71.4,,,,
California,Carlsbad,"107,879",245.6,1.9,24.1,51.0,168.7,"1,955",460.7,"1,356.1",138.1,,,,
Texas,Carrollton,"124,477",144.6,1.6,5.6,60.3,77.1,"2,742.7",619.4,"1,894.3",229,,,,
North Carolina,Cary,"141,016",81.6,-,7.8,20.6,53.2,"1,353.7",262.4,"1,046.7",44.7,,,,
Iowa,Cedar Rapids,"128,401",277.3,2.3,33.5,75.5,165.9,"3,678.3",752.3,"2,728.2",197.8,,,,
Colorado,Centennial,"104,022",150.9,1,38.5,31.7,79.8,"1,383.4",266.3,"1,043",74,,,,
Arizona,Chandler,"242,721",258.7,1.6,26.4,61.4,169.3,"2,707.2",472.6,"2,129.2",105.5,,,,
South Carolina,Charleston,"123,856",239,9.7,15.3,84.0,130,"2,723.3",302,"2,231.6",189.7,,,,
Virginia,Chesapeake,"227,531",368.7,5.3,15.8,88.8,258.9,"2,765.3",454.4,"2,188.3",122.6,,,,
California,Chula Vista,"249,830",232.6,3.2,13.2,90.9,125.3,"2,033.8",370.7,"1,262.1",401.1,,,,
Tennessee,Clarksville,"137,356",637,7.3,33.5,72.1,524.2,"2,723.6",710.6,"1,891.4",121.6,,,,
Florida,Clearwater,"109,255",665.4,2.7,54.0,188.5,420.1,"3,902.8",841.2,"2,900.6",161.1,,,,
Missouri,Columbia,"110,646",430.2,2.7,37.1,146.4,244,"3,814.9",708.6,"2,977.1",129.2,,,,
Georgia,Columbus,"196,178",506.7,8.7,15.8,215.6,266.6,"5,742.7","1,380.9","3,930.6",431.2,,,,
California,Concord,"125,205",321.1,-,15.2,122.2,183.7,"3,340.1",662.1,"2,151.7",526.3,,,,
Florida,Coral Springs,"125,021",183.2,0.8,8.0,62.4,112,"2,255.6",457.5,"1,678.1",120,,,,
California,Corona,"157,342",133.5,0.6,10.8,64.8,57.2,"2,633.1",547.2,"1,758",327.9,,,,
California,Costa Mesa,"112,635",225.5,3.6,28.4,73.7,119.9,"3,621.4",593.1,"2,707.9",320.5,,,,
California,Daly City,"103,311",209.1,-,8.7,73.6,126.8,"1,745.2",382.3,"1,114.1",248.8,,,,
Iowa,Davenport,"101,193",596.9,4,39.5,149.2,404.2,"4,039.8",879.5,"2,877.7",282.6,,,,
Ohio,Dayton,"142,139",973.7,16.9,78.8,445.3,432.7,"5,899.2","2,140.9","3,270.7",487.6,,,,
Texas,Denton,"118,942",310.2,0.8,72.3,68.9,168.1,"2,742.5",531.4,"2,079.2",132,,,,
Iowa,Des Moines,"207,400",527.5,3.4,48.2,120.5,355.4,"4,922.9","1,212.2","3,333.7",377,,,,
California,Downey,"113,628",335.3,5.3,17.6,167.2,145.2,"3,112.8",589.6,"1,679.2",844,,,,
North Carolina,Durham,"235,563",725.9,8.9,26.7,261.1,429.2,"4,363.6","1,394.1","2,670.6",298.9,,,,
New Jersey,Edison Township,"101,007",120.8,-,8.9,58.4,53.5,"1,466.2",337.6,"1,018.7",109.9,,,,
California,El Cajon,"101,864",358.3,2,23.6,144.3,188.5,"2,369.8",484,"1,499.1",386.8,,,,
California,El Monte,"115,356",342.4,3.5,12.1,176.0,150.8,"1,933.1",495,937.1,501.1,,,,
Illinois,Elgin,"109,155",235.4,1.8,61.4,69.6,102.6,"1,815.8",327.1,"1,416.3",72.4,,,,
New Jersey,Elizabeth,"126,281",797.4,11.1,29.3,423.7,333.4,"3,445.5",781.6,"1,739.8",924.1,,,,
California,Elk Grove,"156,344",327.5,0.6,12.8,60.8,253.3,"2,105.6",431.1,"1,538.9",135.6,,,,
Pennsylvania,Erie,"101,972",449.1,7.8,62.8,168.7,209.9,"3,442.1","1,073.8","2,266.3",102,,,,
California,Escondido,"147,386",426.1,3.4,25.8,139.8,257.1,"2,637.3",518.4,"1,604.6",514.3,,,,
Oregon,Eugene,"158,043",272.1,-,45.6,124.0,102.5,"5,064.4",958.6,"3,830.6",275.2,,,,
Indiana,Evansville,"118,194",473.8,6.8,47.4,168.4,251.3,"5,146.6",957.7,"3,833.5",355.3,,,,
Washington,Everett,"105,318",456.7,0.9,43.7,172.8,239.3,"6,092","1,106.2","4,064.8",921,,,,
California,Fairfield,"107,110",423.9,7.5,28.0,129.8,258.6,"3,096.8",631.1,"2,001.7",464,,,,
North Dakota,Fargo,"109,813",358.8,1.8,62.8,41.9,252.2,"2,581.7",410.7,"2,029.8",141.1,,,,
North Carolina,Fayetteville,"205,966",575.8,10.7,34.0,271.9,259.3,"6,390.9","1,995","4,028.8",367.1,,,,
Michigan,Flint,"101,632","2,729.5",62,106.3,662.2,"1,899","5,554.4","2,931.2","2,171.6",451.6,,,,
California,Fontana,"200,874",423.2,2.5,15.4,144.9,260.4,"2,237.2",547.1,"1,189.3",500.8,,,,
Colorado,Fort Collins,"148,792",262.8,1.3,29.6,26.9,205,"2,768.3",401.9,"2,271",95.4,,,,
Florida,Fort Lauderdale,"170,827",903.3,9.4,28.1,488.8,377,"5,830.5","1,727.5","3,757.6",345.4,,,,
California,Fremont,"218,927",139.8,0.9,6.4,60.3,72.2,"1,945.4",537.2,"1,142.8",265.4,,,,
Texas,Frisco,"123,205",79.5,-,6.5,19.5,53.6,"2,051.1",357.1,"1,650.1",43.8,,,,
California,Fullerton,"138,455",326.5,-,22.4,98.9,205.1,"2,843.5",535.9,"2,074.3",233.3,,,,
Florida,Gainesville,"127,036",669.9,4.7,58.3,134.6,472.3,"4,094.1",794.3,"3,111.7",188.1,,,,
California,Garden Grove,"175,079",250.7,0.6,9.1,77.1,163.9,"2,294.4",434.7,"1,516.5",343.3,,,,
Texas,Garland,"234,984",229.8,3,20.0,100.4,106.4,"3,691.7",943.9,"2,496.3",251.5,,,,
Arizona,Gilbert,"214,264",95.7,2.3,8.9,27.5,56.9,"1,580.3",338.8,"1,164.9",76.5,,,,
Arizona,Glendale,"232,997",491.4,5.2,23.2,177.3,285.8,"6,409.5","1,221.9","4,662.3",525.3,,,,
California,Glendale,"194,902",119.5,-,3.1,55.4,61.1,"1,561.3",264.7,"1,138",158.5,,,,
Texas,Grand Prairie,"181,782",274.5,0.6,27.5,88.0,158.4,"2,885.9",714,"1,824.2",347.7,,,,
Michigan,Grand Rapids,"189,953",771.2,8.4,24.2,243.2,495.4,"3,484","1,009.2","2,333.7",141.1,,,,
Wisconsin,Green Bay,"106,080",484.5,0.9,41.5,82.0,360.1,"2,807.3",621.2,"2,083.3",102.8,,,,
Oregon,Gresham,"108,202",450.1,3.7,30.5,191.3,224.6,"4,489.8",818.8,"2,985.2",685.8,,,,
Virginia,Hampton,"137,905",227.7,6.5,11.6,105.9,103.7,"3,377",549.7,"2,637.3",190,,,,
Connecticut,Hartford,"125,203","1,321.9",18.4,21.6,511.2,770.7,"4,248.3",838.6,"2,769.1",640.6,,,,
California,Hayward,"147,424",415.8,4.1,31.2,232.0,148.6,"3,250.5",752.3,"1,510.6",987.6,,,,
Florida,Hialeah,"233,107",347.5,1.7,17.2,111.5,217.1,"3,086.1",449.6,"2,320.4",316.2,,,,
North Carolina,High Point,"106,801",520.6,4.7,17.8,173.2,324.9,"4,135.7","1,112.3","2,755.6",267.8,,,,
Florida,Hollywood,"145,313",442.5,3.4,26.2,191.3,221.6,"5,307.9","1,347.4","3,506.2",454.2,,,,
California,Huntington Beach,"194,677",160.8,1.5,15.9,42.6,100.7,"2,809.8",409.4,"2,235.5",164.9,,,,
Alabama,Huntsville,"183,691",923.3,7.6,39.2,248.2,628.2,"5,041.6","1,178.6","3,476.5",386.5,,,,
Missouri,Independence,"117,433",457.3,4.3,36.6,108.1,308.3,"6,090.3","1,067","4,356.5",666.8,,,,
California,Inglewood,"111,488",699.6,12.6,24.2,334.6,328.3,"2,397.6",579.4,"1,245.9",572.3,,,,
California,Irvine,"217,528",50.6,0.9,3.7,13.3,32.6,"1,518.9",262,"1,194.8",62.1,,,,
Texas,Irving,"224,007",226.3,1.3,12.1,60.3,152.7,"2,815.5",570.1,"1,993.7",251.8,,,,
Mississippi,Jackson,"175,939",948.1,35.8,76.7,454.1,381.4,"6,575","2,344","3,585.3",645.7,,,,
Illinois,Joliet,"148,471",340.8,7.4,20.2,70.0,243.1,"2,583",642.5,"1,834",106.4,,,,
Kansas,Kansas City,"147,201",595.8,10.2,57.7,188.2,339.7,"5,120.9","1,203.8","3,096.4",820.6,,,,
Washington,Kent,"122,102",444.7,1.6,55.7,158.9,228.5,"4,478.2","1,014.7","2,755.9",707.6,,,,
Texas,Killeen,"131,965",644.9,9.1,62.1,178.8,394.8,"3,778.3","1,135.1","2,497.6",145.5,,,,
Tennessee,Knoxville,"182,254",973.4,9.9,65.3,289.7,608.5,"6,676.9","1,581.3","4,594.1",501.5,,,,
Louisiana,Lafayette,"122,852",634.1,9,9.0,164.4,451.8,"5,547.3","1,082.6","4,268.6",196.2,,,,
Colorado,Lakewood,"146,404",461.7,1.4,64.2,101.1,295.1,"4,579.8",626.3,"3,538.2",415.3,,,,
California,Lancaster,"159,155",539.7,5,33.9,196.7,304.1,"2,197.9",655.3,"1,288.7",253.8,,,,
Michigan,Lansing,"114,688",939.9,11.3,80.2,177.0,671.4,"3,290.7","1,139.6","1,920.9",230.2,,,,
Texas,Laredo,"245,558",421.9,3.3,33.0,74.5,311.1,"4,351.3",699.6,"3,496.5",155.2,,,,
Arkansas,Little Rock,"196,055","1,315.4",23,69.9,411.6,811,"8,061","2,164.7","5,337.8",558.5,,,,
Massachusetts,Lowell,"108,539",539,-,34.1,160.3,344.6,"2,879.1",782.2,"1,825.2",271.8,,,,
Texas,Lubbock,"237,241",827,4.6,43.8,137.0,641.5,"5,173.2","1,306.3","3,552.9",314,,,,
Wisconsin,Madison,"237,508",377.7,1.3,48.0,101.5,226.9,"3,264.3",674.1,"2,483.3",106.9,,,,
New Hampshire,Manchester,"110,040",567.1,0.9,65.4,186.3,314.4,"3,496.9",771.5,"2,588.1",137.2,,,,
Texas,McAllen,"135,745",122.3,0.7,2.2,41.3,78.1,"4,025.9",370.5,"3,499.9",155.4,,,,
Texas,McKinney,"138,105",165.8,-,39.1,42.0,84.7,"2,017.3",356.3,"1,585.7",75.3,,,,
Texas,Mesquite,"144,811",305.2,1.4,9.7,126.4,167.8,"4,340.1","1,082.8","2,782.9",474.4,,,,
Florida,Miami Gardens,"111,177",837.4,22.5,14.4,331.9,468.6,"4,303","1,160.3","2,771.3",371.5,,,,
Texas,Midland,"115,637",344.2,3.5,18.2,45.0,277.6,"2,601.2",483.4,"2,000.2",117.6,,,,
Florida,Miramar,"125,998",426.2,1.6,24.6,129.4,270.6,"2,368.3",684.1,"1,508.8",175.4,,,,
California,Modesto,"204,631",777,9.8,28.8,219.9,518.5,"5,510.4","1,256.4","3,374.9",879.1,,,,
Alabama,Montgomery,"209,018",395.7,21.1,19.6,219.6,135.4,"5,768.9","1,631","3,611.2",526.7,,,,
California,Moreno Valley,"199,673",353.6,2.5,12.5,165.8,172.8,"3,190.7","1,010.7","1,730.8",449.2,,,,
Tennessee,Murfreesboro,"112,247",624.5,2.7,49.0,119.4,453.5,"3,568.9",822.3,"2,582.7",163.9,,,,
California,Murrieta,"106,839",65.5,0.9,7.5,19.7,37.4,"1,605.2",381.9,"1,101.7",121.7,,,,
Illinois,Naperville,"142,840",83.3,2.1,4.9,16.8,59.5,"1,431",178.5,"1,223.7",28.7,,,,
Connecticut,New Haven,"129,934","1,439.2",13.1,42.3,649.6,734.2,"5,014.9","1,116.7","3,348.6",549.5,,,,
Virginia,Newport News,"181,591",415.2,11,27.5,149.2,227.4,"3,151",566.7,"2,440.1",144.3,,,,
Virginia,Norfolk,"245,303",543,13.9,30.6,200.2,298.4,"4,643.6",921.7,"3,425.6",296.4,,,,
Oklahoma,Norman,"113,969",151.8,0.9,45.6,47.4,57.9,"2,676.2",551.9,"1,976",148.3,,,,
South Carolina,North Charleston,"100,675",732.1,12.9,60.6,210.6,448,"5,718.4",848.3,"4,333.7",536.4,,,,
Nevada,North Las Vegas,"221,884",763.9,6.3,32.9,175.3,549.4,"2,494.1",701.7,"1,362",430.4,,,,
California,Norwalk,"107,295",403.6,10.3,12.1,159.4,221.8,"2,431.6",502.4,"1,432.5",496.8,,,,
California,Oceanside,"171,141",425.4,4.7,28.0,102.3,290.4,"2,506.1",491.4,"1,754.7",260,,,,
Texas,Odessa,"103,635","1,064.3",4.8,41.5,136.1,881.9,"3,586.6",743,"2,475",368.6,,,,
Kansas,Olathe,"128,560",148.6,-,29.6,18.7,100.3,"1,929.1",245,"1,546.4",137.7,,,,
California,Ontario,"167,933",318,1.8,21.4,158.4,136.4,"3,010.7",630,"1,797.7",583,,,,
California,Orange,"139,692",96.6,2.9,5.7,38.7,49.4,"2,028",357.9,"1,463.2",206.9,,,,
Florida,Orlando,"246,513","1,017.4",9.7,41.8,244.6,721.3,"6,613.8","1,532.6","4,552.3",529,,,,
Kansas,Overland Park,"177,085",160.9,1.1,22.6,23.7,113.5,"2,303.4",292,"1,828.5",183,,,,
California,Oxnard,"201,797",298.8,4.5,4.0,150.6,139.7,"2,017.4",420.2,"1,326.6",270.6,,,,
Florida,Palm Bay,"104,635",528.5,2.9,18.2,74.5,432.9,"2,348.2",687.2,"1,530.1",130.9,,,,
California,Palmdale,"155,294",522.9,3.9,23.8,144.2,350.9,"2,184.9",666.5,"1,331.7",186.7,,,,
California,Pasadena,"139,382",310.7,3.6,15.1,123.4,168.6,"2,424.3",639.3,"1,605.7",179.4,,,,
Texas,Pasadena,"154,562",402.4,5.2,33.6,95.1,268.5,"3,629.6",646.3,"2,644.2",339,,,,
New Jersey,Paterson,"147,148","1,054.7",14.3,15.0,580.4,445.1,"3,153.3","1,100.3","1,436.6",616.4,,,,
Florida,Pembroke Pines,"159,744",149,1.3,8.8,52.0,87,"2,653",529.6,"1,987.6",135.8,,,,
Arizona,Peoria,"158,347",186.9,5.7,15.2,48.6,117.5,"2,951.1",586.7,"2,196.4",168,,,,
Illinois,Peoria,"115,288",797.1,8.7,21.7,281.0,485.7,"4,356","1,231.7","2,923.1",201.2,,,,
California,Pomona,"151,511",673.9,11.2,41.6,248.8,372.3,"3,336.4",594.7,"2,009.1",732.6,,,,
Florida,Pompano Beach,"103,003","1,029.1",4.9,35.9,406.8,581.5,"5,399.8","1,245.6","3,763",391.3,,,,
Florida,Port St. Lucie,"168,416",234.5,2.4,27.9,32.7,171.6,"1,799.7",484.5,"1,261.2",54,,,,
Rhode Island,Providence,"177,882",636.9,9.6,47.2,203.5,376.7,"4,484.4","1,084.4","2,745.6",654.4,,,,
Utah,Provo,"116,879",127.5,-,30.8,16.3,80.4,"2,109",257.5,"1,754.8",96.7,,,,
Colorado,Pueblo,"109,065",730.8,7.3,19.3,182.5,521.7,"6,445.7","1,737.5","4,256.2",452,,,,
California,Rancho Cucamonga,"169,276",189.6,2.4,9.5,66.2,111.7,"2,576.9",862.5,"1,433.8",280.6,,,,
Nevada,Reno,"230,486",517.2,3,14.3,141.9,357.9,"3,220.6",708.5,"2,129.8",382.2,,,,
California,Rialto,"101,595",501,3.9,16.7,197.8,282.5,"3,514.9",883.9,"1,769.8",861.3,,,,
Texas,Richardson,"103,266",165.6,1.9,26.1,77.5,60,"2,909",675.9,"2,106.2",126.9,,,,
California,Richmond,"106,357","1,092.5",16.9,33.8,367.6,674.1,"4,718.1","1,445.1","1,518.5","1,754.5",,,,
Virginia,Richmond,"207,799",648.7,20.2,18.3,304.6,305.6,"4,380.7",976.9,"2,953.8",450,,,,
Minnesota,Rochester,"108,582",,1.8,,50.7,95.8,"2,505.9",455.9,"1,968.1",82,,,,
New York,Rochester,"211,993",976,17,52.8,385.4,520.8,"5,322.3","1,404.8","3,624.2",293.4,,,,
Illinois,Rockford,"152,293","1,367.8",5.9,81.4,327.7,952.8,"4,995.6","1,460.3","3,285.1",250.2,,,,
California,Roseville,"122,896",238.4,1.6,12.2,68.4,156.2,"2,675.4",422.3,"2,063.5",189.6,,,,
Texas,Round Rock,"106,232",132.7,-,30.1,42.4,60.2,"2,481.4",316.3,"2,091.6",73.4,,,,
Oregon,Salem,"157,353",358.4,4.4,25.4,87.7,240.9,"4,277.6",662.8,"3,150.9",463.9,,,,
California,Salinas,"154,413",665.1,13.6,26.6,316.0,308.9,"3,177.2",788.8,"1,687.7",700.7,,,,
Utah,Salt Lake City,"192,465",675.4,4.2,63.4,164.2,443.7,"7,459.5",947.7,"5,625.4",886.4,,,,
California,San Bernardino,"214,987",940.5,21.9,26.0,373.5,519.1,"4,888.7","1,306.6","2,321.5","1,260.5",,,,
California,Santa Clara,"119,360",185.2,-,8.4,51.1,125.7,"2,769.8",489.3,"1,904.3",376.2,,,,
California,Santa Clarita,"179,248",190.8,0.6,16.7,53.6,119.9,"1,529.7",343.7,"1,016.5",169.6,,,,
California,Santa Maria,"101,207",681.8,-,20.7,143.3,517.8,"2,401",703.5,"1,302.3",395.2,,,,
California,Santa Rosa,"170,862",372.2,1.2,39.2,73.7,258.1,"2,234.6",424.3,"1,625.3",184.9,,,,
Georgia,Savannah-Chatham Metropolitan,"231,285",379.6,9.9,10.8,212.3,146.6,"3,599.5",900.6,"2,413.9",284.9,,,,
Arizona,Scottsdale,"223,432",147.2,1.3,18.8,51.5,75.6,"2,706.4",561.7,"2,036.9",107.9,,,,
Louisiana,Shreveport,"202,164",766.7,8.4,45.5,214.2,498.6,"4,878.2","1,199.5","3,449.2",229.5,,,,
California,Simi Valley,"126,686",111.3,2.4,5.5,28.4,75,"1,512.4",314.2,"1,100.4",97.9,,,,
South Dakota,Sioux Falls,"158,354",398.5,1.3,87.8,44.2,265.2,"3,183.4",567.7,"2,426.8",188.8,,,,
Indiana,South Bend,"101,398",613.4,17.8,54.2,311.6,229.8,"4,760.4","1,720","2,759.4",281.1,,,,
Washington,Spokane,"212,163",645.3,6.1,38.2,253.1,347.8,"8,730.1","1,803.8","5,938.8",987.4,,,,
Illinois,Springfield,"117,131",971.6,8.5,64.9,222.0,676.2,"5,929.3","1,425.8","4,296.9",206.6,,,,
Massachusetts,Springfield,"154,518","1,039.4",7.1,25.2,350.8,656.2,"4,545.7","1,499.5","2,554.4",491.9,,,,
Missouri,Springfield,"160,962",991.5,9.9,87.6,219.3,674.7,"9,010.8","1,376.1","6,981.8",652.9,,,,
Florida,St. Petersburg,"248,340",901.6,6,37.9,235.6,622.1,"5,013.7","1,181","3,479.9",352.7,,,,
Connecticut,Stamford,"124,201",282.6,4,20.1,116.7,141.7,"1,555.5",233.5,"1,185.2",136.9,,,,
Michigan,Sterling Heights,"129,974",178.5,3.1,12.3,23.1,140,"1,983.5",274.7,"1,584.2",124.6,,,,
California,Sunnyvale,"143,606",118.4,2.1,9.7,49.4,57.1,"1,779.2",364.9,"1,181",233.3,,,,
Arizona,Surprise,"120,793",134.1,2.5,6.6,51.3,73.7,"2,059.7",429.7,"1,532.4",97.7,,,,
New York,Syracuse,"145,934",940.2,9.6,51.4,311.1,568.1,"4,095","1,299.2","2,534",261.8,,,,
Washington,Tacoma,"202,646",797,5.9,45.9,239.8,505.3,"6,349","1,463.1","3,945.3",940.6,,,,
Florida,Tallahassee,"185,461",853,6.5,62.0,283.1,501.5,"4,646.3","1,418.1","2,945.6",282.5,,,,
California,Temecula,"103,414",93.8,-,9.7,51.3,32.9,"2,359.4",568.6,"1,585.9",205,,,,
Arizona,Tempe,"166,061",528.7,6.6,26.5,152.4,343.2,"4,711.5",752.7,"3,664.3",294.5,,,,
Colorado,Thornton,"123,115",269.7,0.8,47.1,33.3,188.4,"2,645.5",386.6,"1,974.6",284.3,,,,
California,Thousand Oaks,"129,171",121.5,-,17.8,35.6,68.1,"1,422.9",215.2,"1,138",69.7,,,,
Kansas,Topeka,"128,843",599.2,11.6,30.3,183.9,373.3,"5,309.6",991.1,"3,855.1",463.4,,,,
California,Torrance,"147,851",128.5,2.7,11.5,62.2,52.1,"1,819.4",357.8,"1,233",228.6,,,,
Texas,Tyler,"100,040",535.8,3,45.0,92.0,395.8,"4,504.2","1,024.6","3,348.7",130.9,,,,
California,Vallejo,"117,912",744.6,11.9,37.3,322.3,373.2,"4,956.2","2,279.7","1,425.6","1,250.9",,,,
Washington,Vancouver,"166,375",355.8,3,43.3,103.4,206.2,"3,893.6",627.5,"2,610.4",655.7,,,,
California,Ventura,"108,511",285.7,0.9,22.1,129.0,133.6,"3,580.3",717,"2,603.4",259.9,,,,
California,Victorville,"118,687",569.6,5.1,33.7,187.0,343.8,"3,762","1,547.8","1,669.1",545.1,,,,
California,Visalia,"127,604",426.3,3.9,34.5,105.0,282.9,"4,334.5",961.6,"2,960.7",412.2,,,,
Texas,Waco,"128,595",493.8,4.7,49.0,141.5,298.6,"4,544.5","1,205.3","3,218.6",120.5,,,,
Michigan,Warren,"134,340",532.2,-,67.7,110.2,354.3,"2,819",743.6,"1,525.2",550.1,,,,
Connecticut,Waterbury,"110,486",296.9,4.5,6.3,167.4,118.6,"4,265.7",599.2,"3,202.2",464.3,,,,
California,West Covina,"107,861",260.5,1.9,10.2,100.1,148.3,"2,989",506.2,"1,979.4",503.4,,,,
Utah,West Jordan,"107,103",185.8,1.9,22.4,30.8,130.7,"2,769.3",442.6,"2,113.9",212.9,,,,
Florida,West Palm Beach,"102,422",801.6,16.6,30.3,326.1,428.6,"5,276.2","1,258.5","3,711.1",306.6,,,,
Utah,West Valley,"133,725",447.9,0.7,67.3,89.7,290.1,"4,164.5",702.9,"2,970.3",491.3,,,,
Colorado,Westminster,"109,461",259.5,1.8,26.5,46.6,184.5,"2,585.4",360.9,"1,960.5",264,,,,
Texas,Wichita Falls,"105,488",450.3,4.7,34.1,142.2,269.2,"4,759.8","1,193.5","3,348.2",218,,,,
North Carolina,Wilmington,"109,370",565.1,7.3,21.0,238.6,298.1,"5,403.7","1,548.9","3,513.8",341,,,,
North Carolina,Winston-Salem,"234,687",663,2.6,31.5,182.4,446.6,"5,838","1,929.8","3,617.6",290.6,,,,
New Jersey,Woodbridge Township,"100,612",121.3,-,3.0,54.7,63.6,"1,955",335.9,"1,504.8",114.3,,,,
Massachusetts,Worcester,"183,247",959.4,4.4,18.0,228.7,708.3,"3,510","1,113.3","2,143",253.8,,,,
New York,Yonkers,"198,464",570.9,2,14.1,212.6,342.1,"1,292.4",269.6,906.5,116.4,,,,
 Alabama,Mobile3,"248,431",,20.13,58.16,177.11,485.85,,"1,216.84","3,730.21",506.78,6217.02,740.25,"5,453.83",22.94
 Alaska,Anchorage,"296,188",,9.12,132.01,262.67,799.49,,748.17,"3,619.66","1,047.98",6640.04,"1,203.29","5,415.82",20.93
 Arizona,Chandler,"249,355",,2.01,52.13,56.95,148.38,,314.41,"1,866.01",149.18,2589.08,259.47,"2,329.61",
 Arizona,Gilbert,"242,090",,2.07,16.11,21.07,46.26,,192.49,"1,137.59",55.76,1483.75,85.51,"1,385.85",12.39
 Arizona,Glendale,"249,273",,4.81,38.91,192.96,251.53,,637.45,"3,426.36",466.56,5037.85,488.22,"4,530.37",19.26
 Arizona,Mesa,"492,268",,4.67,51.19,92.23,267.74,,381.50,"1,610.91",179.58,2592.49,415.83,"2,171.99",4.67
 Arizona,Phoenix,"1,608,139",,9.55,69.46,200.28,481.64,,778.57,"2,426.69",465.46,4443.2,760.93,"3,670.71",11.56
 Arizona,Scottsdale,"251,840",,1.99,40.9,39.71,74.65,,348.63,"1,725.70",97.68,2338.38,157.24,"2,172.01",9.13
 Arizona,Tucson,"1,532,323",,8.64,93.55,268.82,430.75,,831.07,"3,968.46",452.17,6082.78,801.77,"5,251.70",29.31
 California,Anaheim,"353,400",,2.83,32.54,135.82,183.36,,382.29,"1,809.00",439.16,2997.74,354.56,"2,630.45",12.73
 California,Bakersfield,"381,154",,10.76,24.14,197.56,246.88,,962.08,"2,377.78",728.58,4618.34,479.33,"4,068.43",70.58
 California,Chula Vista,"271,109",,0.74,22.87,112.13,162.30,,236.07,915.50,280.70,1738.79,298.04,"1,432.27",8.48
 California,Fremont,"236,368",,0.85,28.77,79.11,73.61,,284.73,"1,499.78",365.95,2343.8,182.34,"2,150.46",11.0
 California,Fresno,"526,371",,10.64,33.06,182.0,339.30,,693.24,"2,618.31",529.85,4447.63,565.00,"3,841.40",41.23
 California,Irvine,"276,115",,0.72,16.66,19.92,23.90,,227.08,"1,019.14",70.26,1381.31,61.21,"1,316.48",3.62
